op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,centrs,Sadovņikova 21,1,40,2,4,P. kara,Brick,All amenities,240,56.9421434,24.1326836
For sale,centrs,Vārnu 8,2,56,1,6,P. kara,Brick,All amenities,78800,56.95811035,24.14876117
For rent,centrs,Klusā 21,1,24,2,5,Renov.,Brick-Panel,All amenities,250,56.9758898,24.14539138
For rent,Bolderāja,Lemešu 9,1,34,1,9,602,Panel,All amenities,190,57.0333528,24.05537725
For sale,Vecrīga,Kungu 25,3,138,3,6,Jaun.,Masonry,All amenities,275000,56.9453382,24.10946395
For rent,Ķengarags,Maskavas 313,1,38,8,12,Čehu pr.,Brick,All amenities,200,56.8597884,24.3083417
For sale,Zolitūde,Priedaines 13,1,56,1,4,Jaun.,Brick-Panel,All amenities,78000,56.9425813,24.01565898
For rent,centrs,Teātra 2,3,98,4,6,Jaun.,Brick,All amenities,1100,56.9481417,24.1115806
For rent,Vecrīga,Teātra 2,3,98,4,6,Jaun.,Brick,All amenities,1100,56.9481417,24.1115806
For rent,Āgenskalns,Valguma 35,2,40,1,5,Staļina,Brick,All amenities,390,56.94349035,24.09044396
For rent,centrs,Lugažu 14,1,30,1,3,Staļina,Brick,All amenities,270,56.97501495,24.10664461
For rent,Imanta,Kurzemes pr. 2,1,28,1,4,602,Brick-Panel,All amenities,220,NaN,NaN
For sale,Daugavgrīva,Lēpju 13,2,54,3,5,103,Brick-Panel,All amenities,34000,57.038959,24.02205484
For sale,Bieriņi,Spirgus 4,2,47,2,2,Renov.,Wood,All amenities,75000,56.9214827,24.0696882
For rent,centrs,Klijānu 12,2,32,1,3,Jaun.,Brick,All amenities,27,56.9731957,24.1490465
For rent,centrs,Vesetas 26,2,43,4,9,Jaun.,Panel-Brick,All amenities,50,56.9628209,24.1203782
For rent,centrs,Bruņinieku 72,1,49,3,3,Jaun.,Masonry,All amenities,550,56.9524426,24.13875591
For rent,Dārzciems,Nīcgales 52,1,35,2,5,103,Brick,All amenities,250,56.9505884,24.1734239
For rent,Purvciems,Nīcgales 52,1,35,2,5,103,Brick,All amenities,250,56.9505884,24.1734239
For sale,Purvciems,Nīcgales 4,2,50,4,9,602,Panel,All amenities,59500,56.95855255,24.17531633
For rent,centrs,Dzirnavu 6,3,60,3,5,Renov.,Masonry,All amenities,700,56.9612002,24.10753941
Renting,centrs,Raiņa bulv. 1,2,50,1,5,P. kara,Brick-Panel,All amenities,500,NaN,NaN
Renting,Vecrīga,,2,50,1,3,P. kara,Brick-Panel,All amenities,,46.3144754,11.0480288
For sale,Mežaparks,Viestura pr. 16,3,60,3,9,467,Panel,All amenities,65000,NaN,NaN
Buying,Dzegužkalns,Dzirciema,1,,,,103,Brick,,,56.95557155,24.05390938
For rent,centrs,Barona 28,3,93,5,5,P. kara,Masonry,All amenities,465,56.952144,24.1234383
For rent,centrs,Lāčplēša 70,3,85,3,5,P. kara,Brick,All amenities,600,56.9505257,24.1319905
For rent,Jugla,Brīvības gatve 365,2,40,1,5,Hrušč.,Brick,All amenities,280,56.98777415,24.21901805
For sale,centrs,Birznieka-Upīša 18a,3,70,3,7,Renov.,Masonry,All amenities,155000,56.9491897,24.1285
For sale,centrs,Rūdolfa 1,1,30,3,6,P. kara,Brick,All amenities,58000,56.9620224,24.15219395
For rent,centrs,Tomsona 30,2,55,5,9,Jaun.,Panel,All amenities,500,56.9665863,24.1282258
Renting,Ziepniekkalns,,3,,1,3,,,All amenities,,46.3144754,11.0480288
For rent,Jugla,Brīvības gatve 405/1,2,46,2,5,Hrušč.,Brick,All amenities,340,56.9730973,24.1660728
